edad,antiguedad_anios,nivel_educacional,area,satisfaccion,renuncia
25,2.2,postgrado,TI,9.6,0
37,1.4,profesional,TI,7.7,1
24,8.6,postgrado,Soporte,8.7,0
44,5.0,profesional,Soporte,4.2,0
21,6.7,tecnico,Ventas,6.0,1
29,2.4,tecnico,Ventas,6.5,0
49,7.6,tecnico,Soporte,3.9,0
24,7.6,tecnico,Soporte,6.1,0
52,3.1,tecnico,Soporte,3.1,0
20,4.1,profesional,Recursos Humanos,2.3,0
37,2.1,profesional,Soporte,4.4,0
51,9.8,tecnico,Recursos Humanos,7.7,0
30,6.5,tecnico,Recursos Humanos,9.2,0
40,9.3,tecnico,Soporte,5.1,0
45,3.0,profesional,TI,6.8,0
44,7.8,tecnico,TI,1.9,1
41,7.7,tecnico,Ventas,9.1,0
46,6.9,postgrado,Soporte,6.1,0
32,9.7,postgrado,Ventas,8.0,0
52,3.9,tecnico,Soporte,8.1,0
53,1.3,profesional,Ventas,3.3,1
60,6.7,tecnico,Recursos Humanos,5.8,0
54,7.3,profesional,Soporte,9.6,0
20,5.8,profesional,TI,1.8,0
40,2.1,tecnico,Soporte,7.1,0
25,5.0,profesional,Ventas,9.7,0
47,3.1,tecnico,Ventas,3.7,1
36,4.3,tecnico,Ventas,8.8,1
24,6.5,tecnico,Ventas,9.4,0
50,7.5,profesional,Ventas,7.7,0
24,2.3,tecnico,Ventas,3.1,1
57,4.1,tecnico,TI,4.0,1
22,2.7,tecnico,Ventas,1.3,1
42,2.0,tecnico,TI,8.5,0
56,7.8,profesional,Soporte,8.6,0
56,9.1,tecnico,Recursos Humanos,6.7,0
29,3.7,tecnico,TI,4.2,1
29,7.5,profesional,Soporte,1.7,0
38,9.0,profesional,Recursos Humanos,7.8,0
36,8.5,postgrado,TI,7.5,0
40,1.8,profesional,TI,9.2,0
33,9.6,tecnico,Soporte,7.6,0
28,3.8,profesional,Ventas,8.5,0
20,3.4,profesional,TI,7.7,0
32,0.6,tecnico,TI,6.7,1
23,4.9,postgrado,Soporte,4.8,0
20,1.1,tecnico,Ventas,9.1,0
59,2.5,postgrado,Recursos Humanos,6.9,0
51,3.2,postgrado,Ventas,4.6,0
53,8.1,profesional,Ventas,1.8,0
47,8.8,postgrado,Soporte,3.6,0
50,3.0,profesional,Ventas,5.9,1
27,8.6,tecnico,Soporte,3.5,1
58,8.6,profesional,Recursos Humanos,3.0,1
45,7.6,tecnico,TI,5.7,0
53,1.5,tecnico,TI,2.5,0
22,6.9,profesional,Soporte,8.2,0
31,9.5,tecnico,Soporte,5.4,0
20,6.8,tecnico,Ventas,6.2,0
24,3.3,profesional,Ventas,2.3,1
49,5.0,postgrado,TI,3.9,1
49,6.5,tecnico,TI,4.7,1
36,5.1,tecnico,TI,8.3,0
42,1.2,tecnico,Soporte,7.9,1
34,3.1,profesional,Recursos Humanos,3.0,0
56,8.0,tecnico,Recursos Humanos,6.5,0
40,8.6,profesional,Soporte,3.2,0
33,1.4,tecnico,Ventas,9.9,1
21,9.5,tecnico,Recursos Humanos,9.6,0
30,3.3,postgrado,Ventas,6.1,0
58,6.6,tecnico,TI,7.3,0
57,7.5,profesional,TI,8.2,0
53,8.1,tecnico,Ventas,7.5,1
57,9.5,profesional,TI,7.3,0
53,3.1,profesional,Soporte,9.6,0
37,8.6,tecnico,Ventas,6.4,0
49,1.3,tecnico,Ventas,6.7,0
34,7.1,tecnico,Ventas,8.6,1
46,7.4,profesional,Recursos Humanos,7.0,0
53,6.8,profesional,Ventas,7.6,0
57,2.5,profesional,Ventas,3.1,1
52,8.7,profesional,Ventas,4.3,0
43,1.7,tecnico,Recursos Humanos,2.3,1
34,0.5,tecnico,TI,5.6,1
49,7.2,tecnico,Recursos Humanos,5.1,0
36,4.8,tecnico,Soporte,10.0,1
24,8.5,tecnico,Ventas,6.5,0
48,3.8,profesional,Soporte,8.1,0
23,1.7,profesional,Recursos Humanos,4.0,1
29,8.4,postgrado,TI,8.5,0
36,5.5,tecnico,TI,6.5,0
29,1.9,profesional,Ventas,7.3,1
36,7.2,postgrado,TI,3.6,1
39,5.1,profesional,Recursos Humanos,5.9,0
43,6.0,tecnico,Recursos Humanos,6.7,0
24,4.6,tecnico,TI,6.3,0
53,8.3,tecnico,Ventas,9.2,0
25,8.3,tecnico,Ventas,9.1,0
21,7.1,profesional,Recursos Humanos,9.7,0
32,1.1,tecnico,TI,7.0,0
30,8.4,tecnico,Recursos Humanos,9.7,0
42,6.7,profesional,Recursos Humanos,8.5,0
35,7.0,profesional,Soporte,3.4,0
50,3.6,profesional,Recursos Humanos,4.8,0
30,8.8,profesional,Ventas,3.1,1
35,7.3,tecnico,TI,1.0,0
27,1.1,tecnico,TI,2.7,1
23,4.1,tecnico,Soporte,1.0,1
59,8.9,profesional,Soporte,7.5,0
23,0.5,postgrado,Ventas,4.8,1
44,9.6,tecnico,Soporte,3.8,0
22,6.8,profesional,Recursos Humanos,7.9,0
51,6.3,tecnico,Recursos Humanos,8.5,0
22,2.7,profesional,Ventas,9.8,1
46,2.5,tecnico,TI,6.8,0
48,9.4,tecnico,Ventas,5.2,0
51,3.0,postgrado,Soporte,3.7,1
38,7.8,profesional,TI,3.0,1
40,3.9,profesional,TI,2.9,0
24,1.4,tecnico,TI,4.7,1
37,0.1,tecnico,Soporte,9.9,0
47,5.4,tecnico,Recursos Humanos,1.0,1
41,9.8,postgrado,Recursos Humanos,2.8,1
40,3.7,postgrado,Soporte,2.7,0
25,3.6,profesional,Soporte,7.5,0
20,3.4,tecnico,Ventas,4.2,1
24,5.2,postgrado,Ventas,5.1,0
60,4.4,profesional,Recursos Humanos,2.3,0
31,8.8,profesional,Soporte,4.6,1
45,5.1,tecnico,Ventas,1.9,1
53,5.1,profesional,Soporte,5.8,0
33,1.4,profesional,Soporte,1.9,1
45,9.8,postgrado,Recursos Humanos,8.1,0
46,2.5,profesional,Recursos Humanos,6.1,0
28,0.7,tecnico,Soporte,7.5,0
45,6.6,profesional,TI,4.8,0
41,6.0,postgrado,TI,4.4,1
49,4.2,tecnico,Soporte,1.9,1
36,4.2,tecnico,Recursos Humanos,5.7,0
45,7.9,tecnico,TI,5.6,0
55,2.0,profesional,Recursos Humanos,5.2,0
20,8.2,tecnico,TI,7.7,0
27,6.5,profesional,Soporte,8.5,0
54,4.2,tecnico,Ventas,7.8,0
34,4.6,postgrado,Ventas,2.3,1
41,2.6,tecnico,Recursos Humanos,6.6,0
33,7.5,tecnico,Recursos Humanos,1.7,1
45,5.1,profesional,TI,7.3,0
47,3.2,profesional,Soporte,4.4,1
42,6.0,tecnico,TI,2.2,0
33,10.0,tecnico,Soporte,8.8,0
43,4.4,tecnico,Soporte,6.5,0
21,9.2,profesional,Recursos Humanos,4.2,1
45,3.5,profesional,Ventas,1.3,1
33,0.5,profesional,Ventas,5.8,0
26,2.0,profesional,Recursos Humanos,9.3,0
22,4.2,profesional,Ventas,6.4,0
42,2.2,tecnico,Recursos Humanos,9.7,0
37,0.0,postgrado,TI,2.2,0
57,9.2,postgrado,Soporte,6.1,0
54,8.4,tecnico,Ventas,8.2,0
34,7.4,tecnico,Ventas,5.7,0
44,1.7,tecnico,TI,1.8,1
56,1.2,tecnico,TI,6.2,0
47,0.7,profesional,Ventas,6.5,1
29,7.2,profesional,Ventas,7.6,0
58,9.3,profesional,Recursos Humanos,7.9,0
36,4.3,profesional,Recursos Humanos,7.9,0
58,1.2,profesional,Ventas,7.0,0
41,5.1,profesional,Recursos Humanos,2.9,1
45,3.5,tecnico,TI,4.6,1
44,3.7,tecnico,Soporte,8.0,0
36,6.2,profesional,Recursos Humanos,9.6,0
32,7.2,tecnico,Soporte,1.7,1
39,1.1,tecnico,Recursos Humanos,5.8,0
44,0.4,postgrado,Ventas,3.8,1
23,9.9,profesional,Recursos Humanos,3.0,1
29,2.3,tecnico,Soporte,5.6,0
22,0.5,profesional,Soporte,6.5,0
60,1.9,profesional,Ventas,1.1,1
37,0.4,tecnico,Soporte,8.0,1
55,3.9,tecnico,Ventas,8.4,1
41,8.0,postgrado,Ventas,9.7,0
53,3.4,tecnico,Soporte,2.6,1
27,4.4,tecnico,TI,6.4,0
59,6.8,profesional,Soporte,4.8,1
38,5.1,profesional,Soporte,4.0,1
60,8.6,tecnico,Recursos Humanos,6.1,0
56,8.7,tecnico,Soporte,8.0,0
25,0.1,tecnico,Recursos Humanos,1.2,1
45,7.8,postgrado,Recursos Humanos,9.7,0
53,4.6,tecnico,Soporte,8.3,0
25,9.9,profesional,Ventas,7.8,1
56,4.8,postgrado,TI,7.8,0
52,9.9,tecnico,Soporte,4.5,1
41,7.5,postgrado,Soporte,7.8,0
40,2.5,postgrado,Ventas,4.5,1
25,5.4,postgrado,Recursos Humanos,9.1,0
25,9.9,tecnico,Ventas,2.6,1
23,8.6,profesional,Ventas,3.6,1
49,1.0,profesional,Recursos Humanos,6.0,1
30,7.1,postgrado,Soporte,3.9,0
49,3.5,tecnico,Ventas,4.8,1
50,0.1,profesional,Ventas,5.4,0
43,4.0,tecnico,Soporte,8.7,0
28,2.3,tecnico,Soporte,5.7,0
22,8.2,profesional,TI,4.3,1
50,3.4,profesional,Ventas,3.2,0
59,8.3,profesional,TI,4.7,0
56,0.0,profesional,Recursos Humanos,5.6,0
55,3.1,postgrado,Soporte,7.7,0
43,2.4,tecnico,Soporte,2.1,1
50,2.3,profesional,TI,3.0,0
25,0.7,tecnico,Ventas,4.4,1
21,1.9,tecnico,Recursos Humanos,4.2,1
39,5.6,profesional,Ventas,4.5,0
47,2.9,postgrado,Ventas,8.1,0
30,4.2,profesional,TI,3.9,1
23,3.8,profesional,Ventas,5.5,1
34,8.8,tecnico,TI,6.6,0
25,9.1,tecnico,Soporte,3.1,1
49,4.9,profesional,Soporte,7.5,0
57,3.3,tecnico,Soporte,5.9,0
21,1.1,tecnico,Recursos Humanos,5.0,0
34,9.5,profesional,Recursos Humanos,8.3,0
30,0.6,tecnico,Ventas,3.2,1
27,3.0,tecnico,TI,8.9,0
45,3.0,profesional,Ventas,6.0,0
24,3.2,profesional,Soporte,6.5,0
25,1.6,postgrado,Ventas,8.9,0
45,7.8,profesional,Ventas,8.4,1
23,1.2,profesional,Ventas,6.4,1
38,6.3,postgrado,Soporte,7.8,0
39,1.2,profesional,TI,4.9,1
52,0.7,tecnico,Ventas,5.9,0
39,9.1,tecnico,Soporte,1.6,0
31,1.9,profesional,Recursos Humanos,1.8,0
20,8.2,profesional,TI,8.5,0
45,5.4,profesional,Soporte,1.5,0
33,0.8,profesional,Ventas,2.5,1
57,9.6,profesional,Soporte,8.2,0
56,2.5,postgrado,TI,1.0,1
30,8.6,profesional,Ventas,3.5,1
55,1.7,tecnico,Recursos Humanos,6.3,0
32,8.5,postgrado,Recursos Humanos,6.4,0
22,0.1,tecnico,Recursos Humanos,8.0,0
52,5.1,profesional,Soporte,5.6,0
25,7.7,postgrado,TI,5.6,0
29,9.3,profesional,Recursos Humanos,7.5,0
24,9.1,profesional,Ventas,5.5,1
42,8.2,profesional,Ventas,6.5,0
29,8.9,tecnico,Ventas,9.1,1
21,2.0,tecnico,Soporte,4.6,0
32,2.8,profesional,TI,4.5,0
59,2.9,profesional,TI,1.0,1
21,3.8,profesional,Recursos Humanos,6.5,0
39,3.9,tecnico,TI,1.3,1
20,5.4,profesional,Ventas,5.5,0
56,1.6,profesional,Ventas,8.2,1
28,6.9,profesional,Soporte,5.9,0
36,1.7,profesional,Ventas,3.4,1
28,3.1,profesional,TI,8.1,0
30,5.0,profesional,Ventas,3.4,0
34,8.0,profesional,Recursos Humanos,7.6,0
43,7.4,postgrado,Soporte,6.5,0
57,6.5,tecnico,Soporte,2.5,0
54,1.6,postgrado,TI,9.1,1
49,5.5,tecnico,Ventas,2.8,0
50,0.9,tecnico,Ventas,9.9,0
24,3.8,postgrado,TI,1.1,1
33,4.1,tecnico,TI,3.4,0
30,0.4,profesional,Recursos Humanos,2.8,0
28,2.7,postgrado,TI,1.1,1
53,9.6,postgrado,Ventas,7.6,0
31,9.5,postgrado,Recursos Humanos,7.2,0
54,3.5,tecnico,Soporte,8.1,0
54,0.4,profesional,Ventas,3.3,1
20,1.8,tecnico,Soporte,5.0,0
59,3.9,profesional,Soporte,6.9,0
41,9.5,postgrado,Soporte,5.0,0
48,1.4,tecnico,Ventas,7.3,1
27,7.6,profesional,Soporte,6.7,0
30,1.1,profesional,Ventas,2.0,1
60,9.8,profesional,Soporte,8.0,0
56,3.8,postgrado,TI,7.5,0
33,7.8,tecnico,TI,6.9,0
49,3.4,profesional,Ventas,2.4,0
54,6.3,postgrado,Soporte,3.4,1
40,1.9,profesional,Soporte,4.5,1
56,1.5,tecnico,Soporte,3.5,1
24,9.4,profesional,TI,3.1,0
38,9.2,tecnico,Soporte,8.2,1
33,8.9,tecnico,Soporte,6.7,0
45,6.3,postgrado,Ventas,6.1,0
23,8.1,profesional,Soporte,3.0,1
44,0.7,postgrado,TI,9.3,1
44,3.3,postgrado,Soporte,2.7,1
37,3.1,profesional,TI,8.2,0
59,6.4,tecnico,TI,9.7,0
27,3.6,profesional,Recursos Humanos,7.5,0
58,1.5,tecnico,TI,9.9,0
59,6.0,postgrado,Recursos Humanos,6.9,0
33,8.1,tecnico,Recursos Humanos,3.0,1
51,3.8,tecnico,Soporte,2.8,0
57,1.3,profesional,Recursos Humanos,3.9,0
52,2.0,tecnico,Ventas,1.1,1
42,2.4,tecnico,TI,7.1,0
34,3.0,profesional,Ventas,3.4,0
52,6.4,tecnico,Recursos Humanos,8.3,0
44,6.0,tecnico,Soporte,4.2,0
36,7.0,tecnico,TI,5.3,0
52,3.6,profesional,Ventas,9.7,1
21,8.2,profesional,Soporte,3.2,1
33,2.0,profesional,Recursos Humanos,7.5,0
59,4.7,profesional,Soporte,7.8,0
59,8.0,tecnico,Ventas,3.0,1
58,1.8,postgrado,Soporte,5.5,1
25,1.1,tecnico,Ventas,4.2,1
25,8.8,profesional,Soporte,7.9,0
22,3.4,postgrado,TI,6.6,0
26,6.8,postgrado,Soporte,5.3,0
27,0.3,tecnico,TI,8.0,1
34,6.9,tecnico,Ventas,3.1,1
48,3.2,profesional,TI,7.8,0
52,0.6,tecnico,Soporte,8.8,0
49,6.1,postgrado,TI,8.9,0
58,2.4,profesional,Ventas,8.1,0
46,3.9,profesional,Soporte,4.7,0
55,0.8,tecnico,TI,9.8,0
48,1.5,profesional,TI,4.4,0
57,3.0,profesional,Recursos Humanos,6.7,0
52,0.9,postgrado,TI,2.4,0
56,9.1,tecnico,Recursos Humanos,9.8,0
46,0.1,tecnico,Ventas,7.3,1
52,4.8,tecnico,Recursos Humanos,7.8,0
23,1.2,tecnico,Ventas,1.6,1
41,3.1,profesional,TI,7.9,0
21,9.3,postgrado,TI,8.0,0
29,1.6,tecnico,Recursos Humanos,7.0,0
24,9.7,postgrado,Ventas,3.6,1
29,2.1,tecnico,TI,5.4,0
52,7.4,tecnico,Recursos Humanos,2.0,0
57,5.5,tecnico,Recursos Humanos,5.2,0
32,8.8,tecnico,Recursos Humanos,3.2,1
50,5.5,postgrado,TI,4.1,0
55,5.3,tecnico,Ventas,2.5,0
43,2.0,profesional,TI,3.1,0
34,1.7,profesional,Soporte,1.7,0
48,9.2,postgrado,Soporte,9.3,0
27,3.3,tecnico,TI,5.8,1
24,3.7,tecnico,Ventas,4.6,1
48,7.6,tecnico,Recursos Humanos,5.8,0
23,3.4,profesional,Soporte,6.7,0
31,9.5,tecnico,Soporte,9.3,0
21,7.4,postgrado,TI,2.6,1
46,6.0,profesional,Soporte,3.7,1
50,8.8,profesional,Soporte,9.8,0
55,0.5,profesional,Recursos Humanos,4.3,1
55,2.6,tecnico,Recursos Humanos,1.2,0
45,4.7,profesional,Ventas,2.3,1
46,2.3,postgrado,Soporte,1.2,1
24,7.4,postgrado,Ventas,9.9,0
39,9.2,postgrado,Ventas,3.5,1
30,4.2,postgrado,Recursos Humanos,9.3,0
29,3.4,tecnico,Recursos Humanos,10.0,0
59,9.6,tecnico,TI,6.4,0
57,4.4,tecnico,Recursos Humanos,1.3,0
25,4.9,tecnico,Ventas,1.7,1
27,3.5,tecnico,Soporte,5.3,1
42,9.1,profesional,Ventas,4.7,0
45,5.7,profesional,Ventas,6.5,1
31,7.6,postgrado,Ventas,4.9,1
45,8.1,profesional,Recursos Humanos,9.4,0
32,3.4,postgrado,Ventas,5.8,0
59,4.3,tecnico,TI,7.2,0
37,8.5,tecnico,Soporte,9.1,0
44,3.6,profesional,Recursos Humanos,2.3,1
52,7.9,tecnico,Ventas,3.1,0
59,9.4,tecnico,TI,2.0,0
31,6.2,tecnico,Soporte,2.3,0
55,7.4,tecnico,Ventas,5.6,1
23,8.1,profesional,Soporte,3.9,1
24,8.5,profesional,Recursos Humanos,4.8,1
56,4.0,profesional,Recursos Humanos,9.8,0
27,0.5,profesional,TI,2.4,1
47,4.0,tecnico,Recursos Humanos,5.9,0
50,6.7,tecnico,TI,1.9,1
28,4.5,tecnico,Ventas,3.9,1
48,7.5,tecnico,Soporte,5.7,0
33,3.6,profesional,Recursos Humanos,9.5,0
59,6.3,profesional,Soporte,4.5,1
60,1.9,profesional,Soporte,1.6,1
41,7.5,tecnico,Ventas,4.5,0
30,5.5,profesional,Ventas,2.3,1
42,2.0,profesional,Recursos Humanos,3.1,1
20,2.9,profesional,Ventas,6.6,1
56,7.5,profesional,Soporte,1.6,0
40,4.8,profesional,TI,5.2,0
45,2.2,profesional,TI,6.5,0
55,9.7,profesional,TI,4.8,1
42,7.2,tecnico,Recursos Humanos,1.2,1
20,9.6,profesional,Ventas,9.9,0
59,4.3,tecnico,Ventas,4.3,1
34,4.8,tecnico,Ventas,8.0,0
40,9.0,postgrado,Ventas,3.9,0
28,5.3,postgrado,Soporte,5.3,0
28,7.1,tecnico,TI,4.5,1
29,2.5,profesional,Soporte,4.1,1
45,4.5,tecnico,Recursos Humanos,1.2,0
60,1.2,profesional,TI,4.2,1
54,2.1,postgrado,TI,9.0,0
44,0.0,postgrado,Soporte,7.2,0
45,0.4,profesional,Recursos Humanos,2.3,1
30,9.8,tecnico,Recursos Humanos,6.3,0
57,2.4,profesional,TI,9.0,0
21,6.6,tecnico,Ventas,7.3,1
26,8.4,postgrado,Recursos Humanos,2.3,0
37,5.5,postgrado,Soporte,8.8,0
46,1.5,profesional,Recursos Humanos,3.7,1
53,7.3,tecnico,TI,5.1,1
46,6.0,tecnico,Ventas,5.7,1
36,7.3,tecnico,Recursos Humanos,8.7,0
43,7.7,postgrado,TI,9.4,0
44,9.8,profesional,Recursos Humanos,9.4,0
26,5.7,tecnico,Ventas,1.1,1
25,3.4,profesional,Soporte,9.3,0
43,6.5,postgrado,TI,1.5,1
52,0.7,tecnico,TI,3.4,1
48,9.0,postgrado,Ventas,5.6,1
41,1.2,postgrado,TI,5.3,1
45,3.3,postgrado,Ventas,6.4,1
47,8.2,tecnico,TI,5.3,1
40,6.0,tecnico,Ventas,9.4,0
26,3.9,tecnico,Recursos Humanos,3.2,0
36,4.7,tecnico,Recursos Humanos,3.5,0
39,8.5,tecnico,Recursos Humanos,9.3,0
60,3.4,profesional,TI,1.7,1
39,8.7,profesional,Ventas,6.5,0
41,0.9,postgrado,Ventas,7.1,0
47,7.8,tecnico,Soporte,5.5,0
59,8.5,profesional,Recursos Humanos,7.2,0
26,1.8,profesional,Soporte,2.6,1
20,4.3,profesional,Recursos Humanos,8.7,0
51,1.7,postgrado,Soporte,2.3,1
32,7.1,profesional,Recursos Humanos,4.6,0
49,5.4,postgrado,Ventas,1.7,0
42,6.4,tecnico,Recursos Humanos,5.9,0
38,2.0,profesional,TI,7.0,0
51,2.1,tecnico,Recursos Humanos,9.5,0
49,0.4,tecnico,Recursos Humanos,7.7,0
48,3.2,tecnico,Ventas,5.9,1
48,5.6,tecnico,TI,9.4,0
49,8.6,tecnico,Ventas,5.3,1
35,6.7,tecnico,Soporte,6.1,0
59,4.4,tecnico,Soporte,6.4,0
38,9.5,postgrado,TI,4.7,0
37,7.2,tecnico,Soporte,8.5,0
20,9.3,profesional,TI,2.7,1
33,5.3,tecnico,Recursos Humanos,6.0,0
21,2.6,postgrado,Soporte,7.5,0
47,0.5,postgrado,Recursos Humanos,9.1,1
49,7.3,profesional,Ventas,9.0,0
57,1.2,profesional,Soporte,5.6,1
23,3.0,tecnico,Ventas,6.8,0
20,5.3,postgrado,Ventas,4.5,1
27,5.6,postgrado,TI,5.2,0
48,6.0,postgrado,Ventas,9.2,0
58,1.7,profesional,TI,9.4,0
22,3.8,tecnico,TI,9.1,0
51,6.2,postgrado,TI,2.2,0
29,9.7,tecnico,TI,8.7,0
29,7.3,profesional,TI,9.5,0
38,9.2,tecnico,Recursos Humanos,4.3,0
53,7.6,postgrado,TI,5.7,0
52,5.9,tecnico,Soporte,8.0,0
42,1.9,tecnico,TI,6.1,0
47,6.7,profesional,Recursos Humanos,9.9,0
51,6.2,profesional,Soporte,5.1,0
26,6.0,profesional,Soporte,7.4,0
48,4.9,tecnico,Recursos Humanos,8.1,1
27,5.3,tecnico,Soporte,5.4,0
20,3.3,profesional,Recursos Humanos,8.7,0
22,5.2,postgrado,Ventas,5.9,0
43,2.0,postgrado,Ventas,4.7,1
42,8.1,profesional,TI,2.0,0
27,1.9,postgrado,TI,4.5,0
56,0.8,profesional,TI,7.6,0
22,4.4,profesional,TI,9.3,0
52,6.6,profesional,Recursos Humanos,3.3,1
47,4.4,profesional,Ventas,4.2,1
27,2.8,profesional,Recursos Humanos,2.4,1
53,5.6,profesional,Soporte,7.2,0
54,3.5,tecnico,Soporte,9.6,0
51,9.3,tecnico,Soporte,6.8,0
43,9.2,tecnico,Soporte,6.6,0
33,5.0,profesional,Soporte,6.0,0
51,3.3,tecnico,Ventas,1.8,1
35,7.4,tecnico,Recursos Humanos,7.6,0
23,0.4,profesional,Soporte,6.4,1
56,4.7,profesional,TI,7.0,0
40,3.4,profesional,Ventas,9.1,0
33,9.2,profesional,TI,8.1,0
50,0.1,postgrado,Ventas,8.0,1
37,5.5,postgrado,Ventas,9.3,0
26,7.4,postgrado,TI,9.9,0
29,4.9,profesional,TI,6.2,0
26,0.9,tecnico,Soporte,2.0,1
52,9.7,postgrado,TI,5.1,0
42,5.2,tecnico,Recursos Humanos,8.1,0
40,6.1,tecnico,Ventas,1.2,1
38,2.4,profesional,Ventas,1.5,1
38,4.8,tecnico,Soporte,1.6,0
55,4.3,postgrado,Ventas,7.6,0
48,0.7,profesional,TI,5.5,0
37,1.1,profesional,Ventas,4.3,1
21,8.4,profesional,Ventas,2.0,1
20,2.4,profesional,TI,7.6,0
24,1.9,tecnico,TI,3.9,1
39,5.0,profesional,Ventas,3.4,1
30,7.7,profesional,Recursos Humanos,6.9,0
21,0.6,profesional,TI,6.0,0
22,5.8,profesional,Recursos Humanos,4.3,0
42,1.2,tecnico,Recursos Humanos,6.8,1
31,0.4,tecnico,Soporte,3.4,1
39,0.5,tecnico,Recursos Humanos,8.2,1
24,8.3,tecnico,Soporte,3.1,0
56,1.2,postgrado,Recursos Humanos,2.4,1
57,0.5,postgrado,Soporte,8.0,0
49,4.4,tecnico,TI,7.4,0
28,8.4,profesional,Ventas,2.6,0
53,2.6,profesional,Ventas,2.0,0
54,4.2,tecnico,Soporte,8.5,0
41,0.4,tecnico,TI,8.0,1
43,4.5,postgrado,Soporte,3.9,0
36,5.8,profesional,Soporte,6.9,0
29,5.7,postgrado,TI,2.1,0
49,3.3,tecnico,Recursos Humanos,5.6,0
42,3.2,profesional,Recursos Humanos,1.2,0
51,1.1,tecnico,TI,4.5,0
36,3.7,tecnico,Soporte,1.7,1
36,1.0,profesional,Ventas,5.3,0
33,7.7,tecnico,Soporte,4.8,1
28,9.7,tecnico,Recursos Humanos,5.0,0
59,9.7,tecnico,TI,1.4,1
21,8.7,tecnico,TI,4.3,1
44,6.0,profesional,TI,7.8,0
58,7.0,profesional,Recursos Humanos,4.3,0
28,2.9,tecnico,Soporte,7.4,0
41,6.3,tecnico,TI,4.3,0
23,4.6,tecnico,Ventas,4.8,0
45,4.8,profesional,TI,6.1,0
48,7.6,tecnico,Soporte,9.6,0
53,2.8,profesional,Recursos Humanos,2.0,0
42,3.2,tecnico,Ventas,1.3,1
56,9.2,tecnico,Ventas,6.5,1
30,0.6,postgrado,TI,9.5,0
25,4.9,profesional,Soporte,9.9,0
37,9.1,tecnico,TI,5.4,0
40,6.1,postgrado,Ventas,5.2,0
55,5.5,profesional,TI,6.8,0
60,2.5,postgrado,Soporte,6.0,0
57,3.4,profesional,Recursos Humanos,6.7,0
53,8.5,profesional,Ventas,8.9,0
36,5.6,postgrado,Soporte,7.7,0
56,5.1,tecnico,TI,5.5,0
44,1.0,profesional,Ventas,5.2,0
57,0.2,profesional,TI,6.8,1
31,9.6,tecnico,TI,5.1,0
42,3.8,tecnico,Recursos Humanos,5.1,0
41,6.0,tecnico,TI,1.1,1
40,0.8,profesional,TI,2.6,1
46,6.8,profesional,Soporte,5.4,0
50,9.3,profesional,TI,8.4,0
25,5.8,tecnico,Recursos Humanos,3.5,0
46,1.3,profesional,TI,5.7,0
59,5.8,postgrado,TI,4.1,0
53,7.7,tecnico,TI,1.9,0
31,4.1,profesional,Ventas,9.6,1
26,8.8,profesional,Recursos Humanos,8.7,0
29,6.5,profesional,Ventas,1.7,0
36,9.0,profesional,Recursos Humanos,7.5,0
45,6.2,postgrado,Recursos Humanos,4.1,1
40,1.3,tecnico,Soporte,10.0,0
47,3.1,postgrado,Ventas,3.7,1
21,2.0,tecnico,Recursos Humanos,3.1,0
20,9.1,tecnico,Recursos Humanos,6.1,0
55,7.6,tecnico,Soporte,8.5,0
45,6.8,profesional,Ventas,2.7,0
48,3.0,profesional,TI,7.4,0
40,1.8,tecnico,Soporte,1.6,1
30,7.6,tecnico,Recursos Humanos,9.3,0
59,4.7,postgrado,Ventas,1.7,1
30,2.3,postgrado,Recursos Humanos,9.2,0
55,6.2,profesional,Soporte,5.4,0
58,0.4,profesional,Soporte,5.0,0
59,3.3,profesional,Ventas,9.8,1
54,4.7,tecnico,Soporte,9.9,0
53,1.5,postgrado,Soporte,6.9,1
43,9.8,tecnico,TI,2.1,0
41,2.1,profesional,Recursos Humanos,5.6,0
24,1.3,tecnico,TI,5.8,1
52,2.0,profesional,TI,5.6,0
55,7.7,profesional,Ventas,6.1,0
39,4.3,profesional,Soporte,1.2,1
38,5.7,tecnico,Recursos Humanos,7.4,0
54,0.2,profesional,Recursos Humanos,7.4,0
36,0.3,tecnico,Recursos Humanos,2.0,1
53,4.5,tecnico,Soporte,6.1,0
28,8.2,tecnico,Recursos Humanos,6.1,0
45,8.9,profesional,Recursos Humanos,7.1,0
21,0.9,profesional,Soporte,1.8,1
28,5.4,profesional,Ventas,6.6,0
28,9.1,profesional,Recursos Humanos,3.5,1
59,3.9,profesional,Soporte,5.6,0
36,8.3,profesional,TI,8.0,0
20,1.3,tecnico,Soporte,7.4,1
44,9.4,tecnico,TI,2.1,0
59,7.5,profesional,Soporte,6.3,0
44,9.4,profesional,Recursos Humanos,9.7,0
58,6.8,postgrado,Ventas,2.4,1
54,3.6,postgrado,Ventas,8.7,0
22,9.4,tecnico,Recursos Humanos,7.3,0
56,2.8,tecnico,TI,8.0,0
49,3.3,profesional,Soporte,3.5,1
57,7.0,tecnico,Recursos Humanos,3.6,1
53,7.7,tecnico,Soporte,9.2,0
31,9.3,postgrado,Recursos Humanos,4.2,1
38,2.0,tecnico,Recursos Humanos,1.6,1
56,8.0,postgrado,Soporte,6.4,0
36,7.4,profesional,Ventas,2.1,1
29,0.6,profesional,Ventas,8.2,0
31,3.9,tecnico,TI,6.8,0
35,2.8,tecnico,Soporte,8.9,1
43,3.0,profesional,TI,8.1,0
